ts,name,cpu,mem
14:31:11,lucky-star-grafana,0.07%,57.82MiB / 15.47GiB
14:31:11,lucky-star-prometheus,0.80%,74.93MiB / 15.47GiB
14:31:11,lucky-star-zookeeper,6.53%,135MiB / 15.47GiB
14:31:13,lucky-star-wallet-service,318.75%,651.6MiB / 15.47GiB
14:31:13,lucky-star-gateway-service,90.08%,522MiB / 15.47GiB
14:31:13,lucky-star-game-service,224.15%,997.1MiB / 15.47GiB
14:31:13,lucky-star-member-service,0.42%,701MiB / 15.47GiB
14:31:13,lucky-star-admin-service,34.66%,660.9MiB / 15.47GiB
14:31:13,lucky-star-rank-service,24.70%,631.1MiB / 15.47GiB
14:31:13,lucky-star-notification-service,23.41%,343.9MiB / 15.47GiB
14:31:13,lucky-star-kafka-ui,0.10%,290.9MiB / 15.47GiB
14:31:13,lucky-star-postgres,108.24%,789MiB / 15.47GiB
14:31:13,lucky-star-redis,20.99%,13.95MiB / 15.47GiB
14:31:13,lucky-star-kafka,82.65%,1.242GiB / 15.47GiB
14:31:13,lucky-star-mysql,22.90%,600.1MiB / 15.47GiB
14:31:13,lucky-star-grafana,0.10%,57.82MiB / 15.47GiB
14:31:13,lucky-star-prometheus,0.93%,75.16MiB / 15.47GiB
14:31:13,lucky-star-zookeeper,0.13%,134.7MiB / 15.47GiB
14:31:15,lucky-star-wallet-service,287.08%,651.3MiB / 15.47GiB
14:31:15,lucky-star-gateway-service,100.91%,522.4MiB / 15.47GiB
14:31:15,lucky-star-game-service,224.69%,997.5MiB / 15.47GiB
14:31:15,lucky-star-member-service,1.96%,701MiB / 15.47GiB
14:31:15,lucky-star-admin-service,34.38%,662.9MiB / 15.47GiB
14:31:15,lucky-star-rank-service,19.84%,631.5MiB / 15.47GiB
14:31:15,lucky-star-notification-service,20.23%,343.7MiB / 15.47GiB
14:31:15,lucky-star-kafka-ui,0.09%,290.9MiB / 15.47GiB
14:31:15,lucky-star-postgres,104.01%,787.8MiB / 15.47GiB
14:31:15,lucky-star-redis,19.87%,13.92MiB / 15.47GiB
14:31:15,lucky-star-kafka,77.52%,1.243GiB / 15.47GiB
14:31:15,lucky-star-mysql,24.58%,599.1MiB / 15.47GiB
14:31:15,lucky-star-grafana,0.05%,57.82MiB / 15.47GiB
14:31:15,lucky-star-prometheus,1.74%,75.1MiB / 15.47GiB
14:31:15,lucky-star-zookeeper,0.15%,134.7MiB / 15.47GiB
14:31:17,lucky-star-wallet-service,300.40%,696.8MiB / 15.47GiB
14:31:17,lucky-star-gateway-service,89.95%,522.3MiB / 15.47GiB
14:31:17,lucky-star-game-service,210.99%,996.8MiB / 15.47GiB
14:31:17,lucky-star-member-service,0.52%,701MiB / 15.47GiB
14:31:17,lucky-star-admin-service,32.83%,662.6MiB / 15.47GiB
14:31:17,lucky-star-rank-service,26.02%,632.8MiB / 15.47GiB
14:31:17,lucky-star-notification-service,21.61%,343.7MiB / 15.47GiB
14:31:17,lucky-star-kafka-ui,0.11%,290.9MiB / 15.47GiB
14:31:17,lucky-star-postgres,98.75%,789.1MiB / 15.47GiB
14:31:17,lucky-star-redis,27.54%,13.47MiB / 15.47GiB
14:31:17,lucky-star-kafka,81.24%,1.244GiB / 15.47GiB
14:31:17,lucky-star-mysql,24.96%,599.3MiB / 15.47GiB
14:31:17,lucky-star-grafana,0.04%,57.82MiB / 15.47GiB
14:31:17,lucky-star-prometheus,0.04%,75.43MiB / 15.47GiB
14:31:17,lucky-star-zookeeper,0.10%,134.7MiB / 15.47GiB
14:31:19,lucky-star-wallet-service,246.87%,700.2MiB / 15.47GiB
14:31:19,lucky-star-gateway-service,89.46%,521.6MiB / 15.47GiB
14:31:19,lucky-star-game-service,225.94%,997.9MiB / 15.47GiB
14:31:19,lucky-star-member-service,1.35%,701MiB / 15.47GiB
14:31:19,lucky-star-admin-service,29.46%,662.4MiB / 15.47GiB
14:31:19,lucky-star-rank-service,16.64%,630.8MiB / 15.47GiB
14:31:19,lucky-star-notification-service,16.19%,343.7MiB / 15.47GiB
14:31:19,lucky-star-kafka-ui,0.11%,290.9MiB / 15.47GiB
14:31:19,lucky-star-postgres,109.48%,789.2MiB / 15.47GiB
14:31:19,lucky-star-redis,19.97%,13.44MiB / 15.47GiB
14:31:19,lucky-star-kafka,157.37%,1.279GiB / 15.47GiB
14:31:19,lucky-star-mysql,23.01%,599.6MiB / 15.47GiB
14:31:19,lucky-star-grafana,0.13%,57.82MiB / 15.47GiB
14:31:19,lucky-star-prometheus,0.76%,74.97MiB / 15.47GiB
14:31:19,lucky-star-zookeeper,0.15%,134.7MiB / 15.47GiB
14:31:21,lucky-star-wallet-service,211.40%,703.8MiB / 15.47GiB
14:31:21,lucky-star-gateway-service,77.48%,522.5MiB / 15.47GiB
14:31:21,lucky-star-game-service,205.79%,997.5MiB / 15.47GiB
14:31:21,lucky-star-member-service,0.63%,701MiB / 15.47GiB
14:31:21,lucky-star-admin-service,32.85%,663.4MiB / 15.47GiB
14:31:21,lucky-star-rank-service,21.21%,631.1MiB / 15.47GiB
14:31:21,lucky-star-notification-service,16.90%,343.4MiB / 15.47GiB
14:31:21,lucky-star-kafka-ui,0.11%,290.9MiB / 15.47GiB
14:31:21,lucky-star-postgres,102.95%,789.8MiB / 15.47GiB
14:31:21,lucky-star-redis,18.52%,13.28MiB / 15.47GiB
14:31:21,lucky-star-kafka,141.55%,1.304GiB / 15.47GiB
14:31:21,lucky-star-mysql,25.55%,600.1MiB / 15.47GiB
14:31:21,lucky-star-grafana,0.06%,57.82MiB / 15.47GiB
14:31:21,lucky-star-prometheus,1.27%,74.94MiB / 15.47GiB
14:31:21,lucky-star-zookeeper,7.58%,134.7MiB / 15.47GiB
14:31:23,lucky-star-wallet-service,279.64%,720.7MiB / 15.47GiB
14:31:23,lucky-star-gateway-service,82.76%,522.3MiB / 15.47GiB
14:31:23,lucky-star-game-service,202.81%,998.4MiB / 15.47GiB
14:31:23,lucky-star-member-service,0.77%,701MiB / 15.47GiB
14:31:23,lucky-star-admin-service,30.91%,662.9MiB / 15.47GiB
14:31:23,lucky-star-rank-service,22.22%,631.1MiB / 15.47GiB
14:31:23,lucky-star-notification-service,18.15%,343.9MiB / 15.47GiB
14:31:23,lucky-star-kafka-ui,0.11%,290.9MiB / 15.47GiB
14:31:23,lucky-star-postgres,94.40%,789.5MiB / 15.47GiB
14:31:23,lucky-star-redis,21.17%,14.23MiB / 15.47GiB
14:31:23,lucky-star-kafka,153.39%,1.323GiB / 15.47GiB
14:31:23,lucky-star-mysql,23.44%,600.3MiB / 15.47GiB
14:31:23,lucky-star-grafana,0.05%,57.82MiB / 15.47GiB
14:31:23,lucky-star-prometheus,0.44%,74.91MiB / 15.47GiB
14:31:23,lucky-star-zookeeper,0.11%,134.7MiB / 15.47GiB
14:31:25,lucky-star-wallet-service,279.11%,722.3MiB / 15.47GiB
14:31:25,lucky-star-gateway-service,87.46%,522.7MiB / 15.47GiB
14:31:25,lucky-star-game-service,219.82%,998.4MiB / 15.47GiB
14:31:25,lucky-star-member-service,0.42%,701.2MiB / 15.47GiB
14:31:25,lucky-star-admin-service,33.55%,662.4MiB / 15.47GiB
14:31:25,lucky-star-rank-service,23.11%,631.3MiB / 15.47GiB
14:31:25,lucky-star-notification-service,18.32%,343.7MiB / 15.47GiB
14:31:25,lucky-star-kafka-ui,1.60%,291MiB / 15.47GiB
14:31:25,lucky-star-postgres,101.24%,790.3MiB / 15.47GiB
14:31:25,lucky-star-redis,20.61%,12.79MiB / 15.47GiB
14:31:25,lucky-star-kafka,85.14%,1.244GiB / 15.47GiB
14:31:25,lucky-star-mysql,25.85%,600.1MiB / 15.47GiB
14:31:25,lucky-star-grafana,0.09%,57.82MiB / 15.47GiB
14:31:25,lucky-star-prometheus,1.59%,75.15MiB / 15.47GiB
14:31:25,lucky-star-zookeeper,0.12%,134.7MiB / 15.47GiB
14:31:27,lucky-star-wallet-service,263.14%,728.5MiB / 15.47GiB
14:31:27,lucky-star-gateway-service,89.28%,523.6MiB / 15.47GiB
14:31:27,lucky-star-game-service,211.03%,999.6MiB / 15.47GiB
14:31:27,lucky-star-member-service,2.83%,704MiB / 15.47GiB
14:31:27,lucky-star-admin-service,31.05%,662.9MiB / 15.47GiB
14:31:27,lucky-star-rank-service,30.08%,631.5MiB / 15.47GiB
14:31:27,lucky-star-notification-service,21.61%,345.5MiB / 15.47GiB
14:31:27,lucky-star-kafka-ui,0.13%,290.9MiB / 15.47GiB
14:31:27,lucky-star-postgres,99.94%,790.6MiB / 15.47GiB
14:31:27,lucky-star-redis,25.83%,13.04MiB / 15.47GiB
14:31:27,lucky-star-kafka,74.16%,1.245GiB / 15.47GiB
14:31:27,lucky-star-mysql,27.50%,599.8MiB / 15.47GiB
14:31:27,lucky-star-grafana,0.04%,57.82MiB / 15.47GiB
14:31:27,lucky-star-prometheus,0.89%,74.91MiB / 15.47GiB
14:31:27,lucky-star-zookeeper,0.13%,134.7MiB / 15.47GiB
14:31:29,lucky-star-wallet-service,193.02%,729.9MiB / 15.47GiB
14:31:29,lucky-star-gateway-service,96.68%,522.3MiB / 15.47GiB
14:31:29,lucky-star-game-service,224.70%,999.1MiB / 15.47GiB
14:31:29,lucky-star-member-service,1.90%,701MiB / 15.47GiB
14:31:29,lucky-star-admin-service,39.30%,662.9MiB / 15.47GiB
14:31:29,lucky-star-rank-service,28.57%,631.5MiB / 15.47GiB
14:31:29,lucky-star-notification-service,20.44%,343.7MiB / 15.47GiB
14:31:29,lucky-star-kafka-ui,0.11%,290.9MiB / 15.47GiB
14:31:29,lucky-star-postgres,100.96%,790.3MiB / 15.47GiB
