ts,name,cpu,mem
14:26:08,lucky-star-member-service,0.39%,701.1MiB / 15.47GiB
14:26:08,lucky-star-wallet-service,216.27%,835MiB / 15.47GiB
14:26:08,lucky-star-admin-service,31.56%,658.6MiB / 15.47GiB
14:26:08,lucky-star-rank-service,2.90%,629.4MiB / 15.47GiB
14:26:08,lucky-star-notification-service,23.43%,343.4MiB / 15.47GiB
14:26:08,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:26:08,lucky-star-postgres,105.13%,809.4MiB / 15.47GiB
14:26:08,lucky-star-redis,19.99%,13.14MiB / 15.47GiB
14:26:08,lucky-star-kafka,152.31%,1.323GiB / 15.47GiB
14:26:08,lucky-star-mysql,17.75%,594.3MiB / 15.47GiB
14:26:08,lucky-star-grafana,0.14%,52.24MiB / 15.47GiB
14:26:08,lucky-star-prometheus,0.57%,65.18MiB / 15.47GiB
14:26:08,lucky-star-zookeeper,0.11%,134.4MiB / 15.47GiB
14:26:10,lucky-star-gateway-service,101.19%,519.8MiB / 15.47GiB
14:26:10,lucky-star-game-service,249.36%,985.9MiB / 15.47GiB
14:26:10,lucky-star-member-service,2.14%,701.1MiB / 15.47GiB
14:26:10,lucky-star-wallet-service,163.51%,835MiB / 15.47GiB
14:26:10,lucky-star-admin-service,25.14%,657.1MiB / 15.47GiB
14:26:10,lucky-star-rank-service,3.18%,629.9MiB / 15.47GiB
14:26:10,lucky-star-notification-service,20.43%,342.9MiB / 15.47GiB
14:26:10,lucky-star-kafka-ui,0.09%,282.3MiB / 15.47GiB
14:26:10,lucky-star-postgres,103.70%,809.9MiB / 15.47GiB
14:26:10,lucky-star-redis,22.61%,13MiB / 15.47GiB
14:26:10,lucky-star-kafka,164.44%,1.346GiB / 15.47GiB
14:26:10,lucky-star-mysql,14.13%,594.8MiB / 15.47GiB
14:26:10,lucky-star-grafana,0.13%,52.24MiB / 15.47GiB
14:26:10,lucky-star-prometheus,2.16%,64.96MiB / 15.47GiB
14:26:10,lucky-star-zookeeper,0.12%,134.4MiB / 15.47GiB
14:26:12,lucky-star-gateway-service,105.79%,519.6MiB / 15.47GiB
14:26:12,lucky-star-game-service,252.94%,986.5MiB / 15.47GiB
14:26:12,lucky-star-member-service,0.32%,701.1MiB / 15.47GiB
14:26:12,lucky-star-wallet-service,159.18%,835.4MiB / 15.47GiB
14:26:12,lucky-star-admin-service,36.52%,657.6MiB / 15.47GiB
