ts,name,cpuPct,mem
2026-07-23T12:06:07,lucky-star-grafana,0.05%,52.21MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-prometheus,0.53%,66.21MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-zookeeper,0.10%,133.4MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-gateway-service,0.19%,462.9MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-game-service,1.04%,675.3MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-member-service,1.65%,586.8MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-wallet-service,1.61%,750MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-admin-service,0.51%,603.6MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-rank-service,0.75%,509.7MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-notification-service,0.73%,329.4MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-kafka-ui,0.13%,265.4MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-postgres,0.29%,383.5MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-redis,0.34%,8.25MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-kafka,88.26%,1010MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-mysql,0.68%,507.6MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-grafana,0.07%,52.21MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-prometheus,0.50%,66.6MiB / 15.47GiB
2026-07-23T12:06:14,lucky-star-zookeeper,0.08%,133.9MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-gateway-service,0.20%,463.5MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-game-service,0.26%,675.1MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-member-service,2.89%,587.7MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-wallet-service,6.06%,751MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-admin-service,0.46%,603.5MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-rank-service,1.17%,509.5MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-notification-service,0.57%,329.1MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-kafka-ui,0.12%,265.4MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-postgres,0.10%,383.2MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-redis,0.34%,8.715MiB / 15.47GiB
2026-07-23T12:06:22,lucky-star-kafka,3.54%,954.1MiB / 15.47GiB
